종목코드,주식명,market
69730,DSR제강,KS
1250,GS글로벌,KS
39570,HDC랩스,KS
9540,HD한국조선해양,KS
267250,HD현대,KS
267260,HD현대일렉트릭,KS
204320,HL만도,KS
680,LS네트웍스,KS
108670,LX하우시스,KS
35420,NAVER,KS
30190,NICE평가정보,KS
10060,OCI홀딩스,KS
5490,POSCO홀딩스,KS
4060,SG세계물산,KS
302440,SK바이오사이언스,KS
475150,SK이터닉스,KS
2100,경농,KS
11780,금호석유화학,KS
214330,금호에이치티,KS
24110,기업은행,KS
353200,대덕전자,KS
6340,대원전선,KS
3490,대한항공,KS
16090,대현,KS
145720,덴티움,KS
2210,동성제약,KS
170900,동아에스티,KS
18500,동원금속,KS
454910,두산로보틱스,KS
13570,디와이,KS
20150,롯데에너지머티리얼즈,KS
9900,명신산업,KS
9200,무림페이퍼,KS
396690,미래에셋글로벌리츠,KS
357250,미래에셋맵스리츠,KS
85620,미래에셋생명,KS
2410,범양건영,KS
890,보해양조,KS
11390,부산산업,KS
62040,산일전기,KS
18260,삼성에스디에스,KS
1360,삼성제약,KS
9770,삼정펄프,KS
136490,선진,KS
21820,세원정공,KS
5390,신성통상,KS
293940,신한알파리츠,KS
55550,신한지주,KS
403550,쏘카,KS
20560,아시아나항공,KS
122900,아이마켓코리아,KS
36570,엔씨소프트,KS
11690,와이투솔루션,KS
17370,우신시스템,KS
105840,우진,KS
5820,원림,KS
11330,유니켐,KS
8250,이건산업,KS
25820,이구산업,KS
88260,이리츠코크렙,KS
84680,이월드,KS
6490,인스코비,KS
23800,인지컨트롤스,KS
230,일동홀딩스,KS
3200,일신방직,KS
7110,일신석재,KS
271980,제일약품,KS
63160,종근당바이오,KS
10640,진양폴리우레탄,KS
9310,참엔지니어링,KS
417310,코람코더원리츠,KS
357120,코람코라이프인프라리츠,KS
192820,코스맥스,KS
5420,코스모화학,KS
3070,코오롱글로벌,KS
120110,코오롱인더,KS
284740,쿠쿠홈시스,KS
264900,크라운제과,KS
39490,키움증권,KS
9410,태영건설,KS
84870,티비에이치글로벌,KS
363280,티와이홀딩스,KS
16800,퍼시스,KS
3670,포스코퓨처엠,KS
71050,한국금융지주,KS
4090,한국석유공업,KS
970,한국주철관공업,KS
17960,한국카본,KS
7280,한국특강,KS
3300,한일홀딩스,KS
180640,한진칼,KS
9460,한창제지,KS
272210,한화시스템,KS
1500,현대차증권,KS
93240,형지엘리트,KS
3010,혜인,KS
94280,효성 ITX,KS
298040,효성중공업,KS
298000,효성화학,KS
138930,BNK금융지주,KS
97950,CJ제일제당,KS
4840,DRB동일,KS
6360,GS건설,KS
267270,HD현대건설기계,KS
71970,HD현대마린엔진,KS
42670,HD현대인프라코어,KS
97230,HJ중공업,KS
3580,HLB글로벌,KS
2460,HS화성,KS
487570,HS효성,KS
175330,JB금융지주,KS
178920,PI첨단소재,KS
395400,SK리츠,KS
100840,SNT에너지,KS
2820,SUN&L,KS
2710,TCC스틸,KS
35250,강원랜드,KS
12320,경동인베스트,KS
50,경방,KS
214390,경보제약,KS
2240,고려제강,KS
30610,교보증권,KS
14280,금강공업,KS
2990,금호건설,KS
4540,깨끗한나라,KS
8350,남선알미늄,KS
5720,넥센,KS
320,노루홀딩스,KS
58730,다스코,KS
30210,다올투자증권,KS
23590,다우기술,KS
3090,대웅,KS
69620,대웅제약,KS
430,대원강업,KS
15230,대창단조,KS
460850,동국씨엠,KS
1230,동국홀딩스,KS
5960,동부건설,KS
640,동아쏘시오홀딩스,KS
336260,두산퓨얼셀,KS
210540,디와이파워,KS
32350,롯데관광개발,KS
4990,롯데지주,KS
1080,만호제강,KS
94800,맵스리얼티1,KS
6800,미래에셋증권,KS
26940,부국철강,KS
1470,삼부토건,KS
6660,삼성공조,KS
10140,삼성중공업,KS
10960,삼호개발,KS
4450,삼화왕관,KS
21050,서원,KS
1430,세아베스틸지주,KS
306200,세아제강,KS
19440,세아특수강,KS
68270,셀트리온,KS
336370,솔루스첨단소재,KS
134790,시디즈,KS
4970,신라교역,KS
11930,신성이엔지,KS
35510,신세계I&C,KS
10780,아이에스동서,KS
139990,아주스틸,KS
1780,알루코,KS
326030,에스케이바이오팜,KS
85310,엔케이,KS
900140,엘브이엠씨,KS
111770,영원무역,KS
12280,영화금속,KS
72130,유엔젤,KS
457190,이수스페셜티케미컬,KS
7660,이수페타시스,KS
334890,이지스밸류플러스리츠,KS
23810,인팩,KS
13360,일성건설,KS
15860,일진홀딩스,KS
79900,전진건설로봇,KS
2620,제일파마홀딩스,KS
1550,조비,KS
377300,카카오페이,KS
7810,코리아써키트,KS
2020,코오롱,KS
20120,키다리스튜디오,KS
15890,태경산업,KS
55490,테이팩스,KS
4870,티웨이홀딩스,KS
5690,파미셀,KS
39130,하나투어,KS
10040,한국내화,KS
25540,한국단자공업,KS
161390,한국타이어앤테크놀로지,KS
16450,한세예스24홀딩스,KS
6390,한일현대시멘트,KS
372910,한컴라이프케어,KS
195870,해성디에스,KS
101530,해태제과식품,KS
4310,현대약품,KS
11760,현대코퍼레이션,KS
111110,호전실업,KS
8770,호텔신라,KS
298020,효성티앤씨,KS
1460,BYC,KS
114090,GKL,KS
499790,GS피앤엘,KS
9440,KC그린홀딩스,KS
119650,KC코트렐,KS
44450,KSS해운,KS
58850,KTcs,KS
58860,KTis,KS
93050,LF,KS
6260,LS,KS
23150,MH에탄올,KS
400760,NH올원리츠,KS
8260,NI스틸,KS
9160,SIMPAC,KS
18670,SK가스,KS
3570,SNT다이내믹스,KS
12610,경인양행,KS
1570,금양,KS
4270,남성,KS
3920,남양유업,KS
2350,넥센타이어,KS
251270,넷마블,KS
5250,녹십자홀딩스,KS
19680,대교,KS
1680,대상,KS
3540,대신증권,KS
3220,대원제약,KS
1440,대한전선,KS
3830,대한화섬,KS
24900,덕양산업,KS
82640,동양생명,KS
8970,동양철관,KS
377190,디앤디플랫폼리츠,KS
286940,롯데이노베이트,KS
4000,롯데정밀화학,KS
88980,맥쿼리인프라,KS
118000,메타케어,KS
9580,무림P&P,KS
33920,무학,KS
7120,미래아이앤지,KS
3650,미창석유공업,KS
100220,비상교육,KS
68290,삼성출판사,KS
810,삼성화재해상보험,KS
272550,삼양패키징,KS
3720,삼영,KS
11230,삼화전자공업,KS
17390,서울도시가스,KS
14910,성문전자,KS
58650,세아홀딩스,KS
17550,수산중공업,KS
26890,스틱인베스트먼트,KS
29530,신도리코,KS
1720,신영증권,KS
2790,아모레퍼시픽그룹,KS
267850,아시아나IDT,KS
161000,애경케미칼,KS
25530,에스제이엠홀딩스,KS
3060,에이프로젠바이오로직스,KS
278470,에이피알,KS
15360,예스코홀딩스,KS
1800,오리온홀딩스,KS
1200,유진증권,KS
350520,이지스레지던스리츠,KS
760,이화산업,KS
34590,인천도시가스,KS
129260,인터지스,KS
226320,잇츠한불,KS
33240,자화전자,KS
950,전방,KS
1630,종근당홀딩스,KS
44380,주연테크,KS
11000,진원생명과학,KS
138490,코오롱ENP,KS
31820,콤텍시스템,KS
192400,쿠쿠홀딩스,KS
259960,크래프톤,KS
11280,태림포장,KS
214420,토니모리,KS
69260,티케이지휴켐스,KS
34230,파라다이스,KS
36580,팜스코,KS
103140,풍산,KS
86790,하나금융지주,KS
140,하이트진로홀딩스,KS
152550,한국ANKOR유전,KS
5430,한국공항,KS
15760,한국전력공사,KS
4960,한신공영,KS
51600,한전KPS,KS
52690,한전기술,KS
370,한화손해보험,KS
9830,한화솔루션,KS
3530,한화투자증권,KS
64350,현대로템,KS
69960,현대백화점,KS
5380,현대자동차,KS
227840,현대코퍼레이션홀딩스,KS
10690,화신,KS
10660,화천기계,KS
16580,환인제약,KS
4800,효성,KS
282330,BGF리테일,KS
11150,CJ씨푸드,KS
12030,DB,KS
294870,HDC현대산업개발,KS
329180,HD현대중공업,KS
60980,HL홀딩스,KS
35000,HS애드,KS
1940,KISCO홀딩스,KS
32640,LG유플러스,KS
66570,LG전자,KS
51910,LG화학,KS
1120,LX인터내셔널,KS
338100,NH프라임리츠,KS
34730,SK,KS
11790,SKC,KS
1740,SK네트웍스,KS
1510,SK증권,KS
7980,TP,KS
24070,WISCOM,KS
12200,계양전기,KS
73240,금호타이어,KS
92440,기신정기,KS
270,기아,KS
1260,남광토건,KS
69460,대호에이엘,KS
26960,동서,KS
102260,동성케미컬,KS
14820,동원시스템즈,KS
4890,동일산업,KS
192650,드림텍,KS
3160,디아이,KS
71840,롯데하이마트,KS
27740,마니커,KS
90370,메타랩스,KS
12690,모나리자,KS
3850,보령,KS
3000,부광약품,KS
1270,부국증권,KS
5180,빙그레,KS
14710,사조씨푸드,KS
448730,삼성FN리츠,KS
6110,삼아알미늄,KS
1820,삼화콘덴서공업,KS
7860,서연,KS
9270,신원,KS
2700,신일전자,KS
481850,신한글로벌액티브리츠,KS
8700,아남전자,KS
5850,에스엘,KS
10580,에스엠벡셀,KS
12750,에스원,KS
123700,에스제이엠,KS
78520,에이블씨엔씨,KS
450080,에코프로머티,KS
19490,엑시큐어하이트론,KS
181710,엔에이치엔,KS
484870,엠앤씨솔루션,KS
3520,영진약품,KS
670,영풍,KS
6740,영풍제지,KS
271560,오리온,KS
910,유니온,KS
3460,유화증권,KS
214320,이노션,KS
5950,이수화학,KS
101140,인바이오젠,KS
194370,제이에스코퍼레이션,KS
89590,제주항공,KS
13870,지엠비코리아,KS
88790,진도,KS
3780,진양산업,KS
100250,진양홀딩스,KS
281820,케이씨텍,KS
9070,케이씨티시,KS
33780,케이티앤지,KS
44820,코스맥스비티아이,KS
24720,콜마홀딩스,KS
1420,태원물산,KS
47050,포스코인터내셔널,KS
9810,플레이그램,KS
36460,한국가스공사,KS
2200,한국수출포장공업,KS
240,한국앤컴퍼니,KS
128940,한미약품,KS
9240,한샘,KS
9180,한솔로지스틱스,KS
300720,한일시멘트,KS
130660,한전산업,KS
143210,핸즈코퍼레이션,KS
79430,현대리바트,KS
12330,현대모비스,KS
4560,현대비앤지스틸,KS
5440,현대지에프홀딩스,KS
57050,현대홈쇼핑,KS
850,화천기공,KS
5870,휴니드테크놀러지스,KS
5010,휴스틸,KS
540,흥국화재,KS
95570,AJ네트웍스,KS
5830,DB손해보험,KS
375500,DL이앤씨,KS
7340,DN오토모티브,KS
7700,F&F 홀딩스,KS
443060,HD현대마린솔루션,KS
322000,HD현대에너지솔루션,KS
415640,KB발해인프라,KS
51900,LG생활건강,KS
373220,LG에너지솔루션,KS
79550,LIG넥스원,KS
108320,LX세미콘,KS
10950,S-Oil,KS
5090,SGC에너지,KS
33530,SJG세종,KS
6120,SK디스커버리,KS
402340,SK스퀘어,KS
96770,SK이노베이션,KS
64960,SNT모티브,KS
77970,STX엔진,KS
2900,TYM,KS
9140,경인전자,KS
13580,계룡건설산업,KS
9290,광동제약,KS
339770,교촌에프앤비,KS
7690,국도화학,KS
14530,극동유화,KS
92790,넥스틸,KS
90350,노루페인트,KS
72710,농심홀딩스,KS
145210,다이나믹디자인,KS
6370,대구백화점,KS
6570,대림통상,KS
84690,대상홀딩스,KS
47040,대우건설,KS
2880,대유에이텍,KS
84010,대한제강,KS
460860,동국제강,KS
28100,동아지질,KS
1520,동양,KS
6040,동원산업,KS
30720,동원수산,KS
20,동화약품,KS
89860,롯데렌탈,KS
330590,롯데리츠,KS
357430,마스턴프리미어리츠,KS
17180,명문제약,KS
9680,모토닉,KS
8420,문배철강,KS
3610,방림,KS
90460,비에이치,KS
7160,사조산업,KS
16360,삼성증권,KS
9470,삼화전기,KS
75180,새론오토모티브,KS
3080,성보화학,KS
4490,세방전지,KS
3030,세아제강지주,KS
248070,솔루엠,KS
4430,송원산업,KS
126720,수산인더스트리,KS
16590,신대양제지,KS
31440,신세계푸드,KS
6880,신송홀딩스,KS
5800,신영와코루,KS
308170,씨티알모빌리티,KS
183190,아세아시멘트,KS
11090,에넥스,KS
66970,엘앤에프,KS
6980,우성,KS
10400,우진아이엔에스,KS
49800,우진플라임,KS
33270,유나이티드,KS
14830,유니드,KS
47400,유니온머티리얼,KS
220,유유제약,KS
100,유한양행,KS
102460,이연제약,KS
7570,일양약품,KS
348950,제이알글로벌리츠,KS
4910,조광페인트,KS
462520,조선내화,KS
51630,진양화학,KS
2780,진흥기업,KS
29460,케이씨,KS
344820,케이씨씨글라스,KS
5070,코스모신소재,KS
21240,코웨이,KS
3240,태광산업,KS
28670,팬오션,KS
10820,퍼스텍,KS
950210,프레스티지바이오파마,KS
71090,하이스틸,KS
42700,한미반도체,KS
20000,한섬,KS
105630,한세실업,KS
69640,한세엠케이,KS
4710,한솔테크닉스,KS
25750,한솔홈데코,KS
1750,한양증권,KS
14130,한익스프레스,KS
2320,한진,KS
88350,한화생명,KS
11210,현대위아,KS
4020,현대제철,KS
13520,화승코퍼레이션,KS
81660,휠라홀딩스,KS
79980,휴비스,KS
27410,BGF,KS
79160,CJ CGV,KS
155660,DSR,KS
17860,DS단석,KS
14790,HL D&I,KS
234080,JW생명과학,KS
432320,KB스타리츠,KS
92220,KEC,KS
16380,KG스틸,KS
25000,KPX케미칼,KS
92230,KPX홀딩스,KS
37560,LG헬로비전,KS
229640,LS에코에너지,KS
34120,SBS,KS
2360,SH에너지화학,KS
100090,SK오션플랜트,KS
660,SK하이닉스,KS
36530,SNT홀딩스,KS
5610,SPC삼립,KS
465770,STX그린로지스,KS
37270,YG PLUS,KS
11420,갤럭시아에스엠,KS
17040,광명전기,KS
2720,국제약품,KS
8870,금비,KS
1210,금호전기,KS
25860,남해화학,KS
6280,녹십자,KS
490,대동,KS
5750,대림비앤코,KS
128820,대성산업,KS
117580,대성에너지,KS
9190,대양금속,KS
1130,대한제분,KS
475560,더본코리아,KS
49770,동원F&B,KS
111380,동인기연,KS
163560,동일고무벨트,KS
2690,동일제강,KS
241560,두산밥캣,KS
23530,롯데쇼핑,KS
138040,메리츠금융지주,KS
25560,미래산업,KS
268280,미원에스씨,KS
377740,바이오노트,KS
1340,백광산업,KS
35150,백산,KS
7210,벽산,KS
2760,보락,KS
28260,삼성물산,KS
207940,삼성바이오로직스,KS
70,삼양홀딩스,KS
5680,삼영전자공업,KS
5500,삼진제약,KS
1290,상상인증권,KS
41650,상신브레이크,KS
248170,샘표식품,KS
200880,서연이화,KS
4170,신세계,KS
404990,신한서부티엔디리츠,KS
4770,써니전자,KS
2310,아세아제지,KS
9320,아진전자부품,KS
18250,애경산업,KS
137310,에스디바이오센서,KS
23960,에쓰씨엔지니어링,KS
298690,에어부산,KS
244920,에이플러스에셋,KS
4250,엔피씨,KS
2630,오리엔트바이오,KS
16880,웅진,KS
95720,웅진씽크빅,KS
446070,유니드비티플러스,KS
3470,유안타증권,KS
8500,일정실업,KS
81000,일진다이아,KS
20760,일진디스플,KS
25620,제이준코스메틱,KS
6220,제주은행,KS
120030,조선선재,KS
2600,조흥,KS
1620,케이비아이동국실업,KS
30200,케이티,KS
36420,콘텐트리중앙,KS
4720,팜젠사이언스,KS
17810,풀무원,KS
10100,한국무브넥스,KS
2960,한국쉘석유,KS
23350,한국종합기술,KS
104700,한국철강,KS
161890,한국콜마,KS
34830,한국토지신탁,KS
168490,한국패러랠,KS
47810,한국항공우주,KS
123690,한국화장품,KS
3350,한국화장품제조,KS
11500,한농화성,KS
2390,한독,KS
8930,한미사이언스,KS
3680,한성기업,KS
9420,한올바이오파마,KS
880,한화,KS
452260,한화갤러리아,KS
82740,한화엔진,KS
720,현대건설,KS
307950,현대오토에버,KS
126560,현대퓨처넷,KS
1040,CJ,KS
120,CJ대한통운,KS
16610,DB금융투자,KS
17940,E1,KS
11200,HMM,KS
298050,HS효성첨단소재,KS
1060,JW중외제약,KS
96760,JW홀딩스,KS
105560,KB금융,KS
3620,KG모빌리티,KS
64400,LG씨엔에스,KS
1380,SG글로벌,KS
210980,SK디앤디,KS
17670,SK텔레콤,KS
11810,STX,KS
500,가온전선,KS
267290,경동도시가스,KS
17900,광전자,KS
37710,광주신세계,KS
83420,그린케미칼,KS
13700,까뮤이앤씨,KS
4370,농심,KS
8060,대덕,KS
16710,대성홀딩스,KS
1070,대한방직,KS
6650,대한유화,KS
7590,동방아그로,KS
150,두산,KS
16740,두올,KS
1530,디아이동일,KS
92200,디아이씨,KS
400,롯데손해보험,KS
280360,롯데웰푸드,KS
11170,롯데케미칼,KS
5360,모나미,KS
2840,미원상사,KS
3960,사조대림,KS
9150,삼성전기,KS
145990,삼양사,KS
4380,삼익THK,KS
2450,삼익악기,KS
4440,삼일씨엔에스,KS
390,삼화페인트공업,KS
7540,샘표,KS
8490,서흥,KS
2420,세기상사,KS
13000,세우글로벌,KS
480,시알홀딩스,KS
31430,신세계인터내셔날,KS
19170,신풍제약,KS
2030,아세아,KS
15260,에이엔피,KS
7460,에이프로젠,KS
10120,엘에스일렉트릭,KS
14440,영보화학,KS
12160,영흥,KS
77500,유니퀘스트,KS
139480,이마트,KS
15020,이스타코,KS
14990,인디에프,KS
103590,일진전기,KS
1560,제일연마,KS
4700,조광피혁,KS
185750,종근당,KS
272450,진에어,KS
33250,체시스,KS
35720,카카오,KS
2380,케이씨씨,KS
145270,케이탑리츠,KS
53210,케이티스카이라이프,KS
450140,코오롱모빌리티그룹,KS
14580,태경비케이,KS
6890,태경케미컬,KS
78000,텔코웨어,KS
10770,평화홀딩스,KS
58430,포스코스틸리온,KS
293480,하나제약,KS
25890,한국주강,KS
213500,한솔제지,KS
4150,한솔홀딩스,KS
11700,한신기계공업,KS
18880,한온시스템,KS
3480,한진중공업홀딩스,KS
12450,한화에어로스페이스,KS
453340,현대그린푸드,KS
17800,현대엘리베이터,KS
378850,화승알앤에이,KS
133820,화인베스틸,KS
3280,흥아해운,KS
6840,AK홀딩스,KS
590,CS홀딩스,KS
990,DB하이텍,KS
139130,DGB금융지주,KS
210,DL,KS
365550,ESR켄달스퀘어리츠,KS
383220,F&F,KS
78930,GS,KS
7070,GS리테일,KS
12630,HDC,KS
89470,HDC현대EP,KS
10620,HD현대미포,KS
1390,KG케미칼,KS
40,KR모터스,KS
3550,LG,KS
34220,LG디스플레이,KS
11070,LG이노텍,KS
383800,LX홀딩스,KS
5940,NH투자증권,KS
34310,NICE,KS
456040,OCI,KS
1770,SHD,KS
361610,SK아이이테크놀로지,KS
285130,SK케미칼,KS
860,강남제비스코,KS
9450,경동나비엔,KS
2140,고려산업,KS
10130,고려아연,KS
14160,대영포장,KS
24890,대원화성,KS
12800,대창,KS
1790,대한제당,KS
5880,대한해운,KS
192080,더블유게임즈,KS
12510,더존비즈온,KS
4830,덕성,KS
2150,도화엔지니어링,KS
23450,동남합성,KS
4140,동방,KS
84670,동양고속,KS
92780,동양피스톤,KS
34020,두산에너빌리티,KS
24090,디씨엠,KS
5300,롯데칠성음료,KS
70960,모나용평,KS
2070,비비안,KS
8040,사조동아원,KS
6090,사조오양,KS
28050,삼성E&A,KS
6400,삼성SDI,KS
32830,삼성생명,KS
5930,삼성전자,KS
29780,삼성카드,KS
3230,삼양식품,KS
2170,삼양통상,KS
2810,삼영무역,KS
23000,삼원강재,KS
520,삼일제약,KS
4690,삼천리,KS
4410,서울식품공업,KS
4980,성신양회,KS
180,성창기업지주,KS
4360,세방,KS
67830,세이브존I&C,KS
75580,세진중공업,KS
462870,시프트업,KS
2870,신풍,KS
4920,씨아이테크,KS
112610,씨에스윈드,KS
90430,아모레퍼시픽,KS
97520,엠씨넥스,KS
9970,영원무역홀딩스,KS
7310,오뚜기,KS
5320,온타이드,KS
316140,우리금융지주,KS
8600,윌비스,KS
2920,유성기업,KS
700,유수홀딩스,KS
8730,율촌화학,KS
74610,이엔플러스,KS
249420,일동제약,KS
3120,일성아이에스,KS
271940,일진하이솔루스,KS
317400,자이에스앤디,KS
30000,제일기획,KS
18470,조일알미늄,KS
13890,지누스,KS
71320,지역난방공사,KS
650,천일고속,KS
323410,카카오뱅크,KS
381970,케이카,KS
71950,코아스,KS
5740,크라운해태홀딩스,KS
4100,태양금속공업,KS
19180,티에이치엔,KS
91810,티웨이항공,KS
1020,페이퍼코리아,KS
90080,평화산업,KS
22100,포스코DX,KS
5810,풍산홀딩스,KS
352820,하이브,KS
80,하이트진로,KS
123890,한국자산신탁,KS
6200,한국전자홀딩스,KS
27970,한국제지,KS
53690,한미글로벌,KS
14680,한솔케미칼,KS
10420,한솔피엔에스,KS
2220,한일철강,KS
451800,한화리츠,KS
489790,한화비전,KS
42660,한화오션,KS
86280,현대글로비스,KS
1450,현대해상,KS
241590,화승엔터프라이즈,KS
6060,화승인더스트리,KS
32560,황금에스티,KS
93370,후성,KS
51500,CJ프레시웨이,KQ
241520,DSC인베스트먼트,KQ
130500,GH신소재,KQ
900290,GRT,KQ
28300,HLB,KQ
403870,HPSP,KQ
21320,KCC건설,KQ
44180,KD,KQ
476080,M83,KQ
24940,PN풍년,KQ
218410,RFHIC,KQ
36120,SCI평가정보,KQ
49470,SGA,KQ
57030,YBM넷,KQ
52220,iMBC,KQ
78890,가온그룹,KQ
36620,감성코퍼레이션,KQ
11040,경동제약,KQ
35290,골드앤에스,KQ
489210,교보17호스팩,KQ
19660,글로본,KQ
36190,금화피에스시,KQ
308100,까스텔바작,KQ
39860,나노엔텍,KQ
168330,내츄럴엔도텍,KQ
290660,네오펙트,KQ
285490,노바텍,KQ
145170,노브랜드,KQ
142280,녹십자엠에스,KQ
123840,뉴온,KQ
323350,다원넥스뷰,KQ
8830,대동기어,KQ
389260,대명에너지,KQ
317850,대모,KQ
36480,대성미생물,KQ
5710,대원산업,KQ
298540,더네이쳐홀딩스,KQ
